Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Maison Bambou;Restaurant;;;5 faubourg Sainte-Anne;;44350;;;GUERANDE;44069;47.3305;-2.42929;;;06 08 92 63 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3305, -2.42929;Loire-Atlantique
MCDONALD'S;;Restauration rapide;Espace commercial du Grand Lac;;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.04658;-1.64171;;;02 40 32 39 39;;;;;;;;;;;;;;;;1;;;;;Anglais;oui;;;oui;;;;;;;47.04658, -1.64171;Loire-Atlantique
McDonald's;Restaurant;Restauration rapide;;;C. Cial Leclerc - RD 723 - Espace 23;44150;;;ANCENIS-SAINT-GEREON;44003;47.3724367;-1.1952477;Route (nationale/départ.)||RD723||0,9;;02 41 34 92 57;02 41 34 79 01;tiphaine.pabou@mail.darc2.fr;;;Facebook||https://www.facebook.com/pages/McDonalds-Ancenis/134776466672522?fref=ts;;;;;;non;;;Livraison à domicile,Plats à emporter,Service en terrasse,WiFi;150;;;;;;Anglais,Français;oui;;;oui;||||||||10:30||23:30||||||10:30||23:30||||||10:30||23:30||||||10:30||23:30||||||10:30||00:30||||||10:30||00:30||||||10:30||23:30||||;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.3724367, -1.1952477;Loire-Atlantique
MCDONALD'S;Restaurant;Restauration rapide;;Rond Point La Pancarte;;44390;;;LES TOUCHES;44205;47.4410828;-1.4792006;Route (nationale/départ.)||N137||0;;;;;;;"Facebook||https://www.facebook.com/mcdonaldsfrance ; Google+||https://www.mcdonalds.fr/actualites ; Twitter||https://twitter.com/mcdonalds ; Instagram||https://www.instagram.com/mcdonalds/ ; Pinterest||https://www.pinterest.com/mcdonalds/ ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1080861-d6892338-Reviews-McDonald_s_Heric-Heric_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;Plats à emporter,Service en terrasse,WiFi;;;;;;;Français;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.4410828, -1.4792006;Loire-Atlantique
McDonald's Doué-en-Anjou;Restaurant;Restauration rapide;;Boulevard du Docteur Lionet;Doué-la-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.189714;-0.292299;;;02 41 40 68 99;;;https://www.mcdonalds.fr/restaurants/mcdonalds-doue-en-anjou/1641;;Facebook||https://www.facebook.com/mcdonaldsdoueenanjou;;;;;;;;;Plats à emporter,WiFi;;;;;;;Anglais,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.189714, -0.292299;Maine-et-Loire
MORDU;Restaurant;Cuisine traditionnelle;;44, Rue Bressigny;;49100;;;ANGERS;49007;47.467215;-0.549716;;06 73 11 97 41;;;chezpaul49@gmail.com;https://www.instagram.com/mordu_angers/;;Facebook||https://www.facebook.com/mordu.angers/;;;;;;;;;Chaise haute / Réhausseur;;;;;;;Anglais,Français;;;;;25/05/2026||31/12/2026||||||||||||||12:00||13:30||19:15||21:30||19:15||21:30||||||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||||||||;;;;;Cartes bancaires,Espèces,Tickets Restaurant,Carte Ticket Restaurant;47.467215, -0.549716;Maine-et-Loire
Morfales;Restaurant;Brasserie;;8 place de Kerhillier;;44350;;;GUERANDE;44069;47.32635;-2.41358;;;02 28 55 83 87;;contact@morfales.com;https://www.morfales.com/;;;;;;;;oui;;;;;;;;;;;;;;;||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30;;;;;;47.32635, -2.41358;Loire-Atlantique
Newfeel Pizza;Restaurant;Pizzeria;;Impasse des Arums;;72190;;;SARGE-LES-LE-MANS;72328;48.03298;0.23784;;06 60 40 87 41;;;newfeel.pizza@gmail.com;https://www.facebook.com/p/Newfeel-pizza-100028975253190/?locale=fr_FR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.03298, 0.23784;Sarthe
O Deli's - Street Food;Restaurant;Restauration rapide;;place du 8 mai;;44350;;;GUERANDE;44069;47.328;-2.42976;;06 12 67 99 77;09 80 65 28 46;;yliesberkouk@gmail.com;https://odelis.metro.biz/?lang=fr;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;47.328, -2.42976;Loire-Atlantique
O'Resto du Golf;Restaurant;;;148 Rte du Golf;;72230;;;MULSANNE;72213;47.9169925;0.2390688;;02 43 42 69 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9169925, 0.2390688;Sarthe
O'Tacos;Restaurant;Restauration rapide;;67 rue du Commerce;;49300;;;CHOLET;49099;47.0619;-0.88183;;;02 55 53 00 15;;;https://o-tacos.com/fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0619, -0.88183;Maine-et-Loire
Once Upon A Time;Restaurant;Restauration rapide;;64, Rue Baudrière;;49100;;;ANGERS;49007;47.471712;-0.555415;;;02 41 93 18 09;;onceuponatime49@outlook.fr;https://www.once-upon-a-time.fr;;"Facebook||https://www.facebook.com/OnceUponATimeAngers/ ; Instagram||https://www.instagram.com/once_upon_a_time_49/";;;;;;;;;Plats à emporter;12;1;6;;;;Français;;;;;"01/01/2024||31/12/2024||||||||||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:00||18:30|||||||||||| ; 01/01/2025||31/12/2025||||||14:00||18:00||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:00||18:30|||||||||||| ; 01/01/2026||31/12/2026||||||14:00||18:30||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:30||18:30||||||10:00||18:30||||||||||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.471712, -0.555415;Maine-et-Loire
Paso de Lado;Restaurant;Bistrot / bar à vin;;2 rue du 11 novembre 1918;;72370;;;LE BREIL-SUR-MERIZE;72046;48.0078821;0.4768334;;;;;pasodelado@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0078821, 0.4768334;Sarthe
PASTA PIZZA - FOODTRUCK;Restaurant;Restauration rapide;;Avenue de l'Île-de-France;;44550;;;MONTOIR-DE-BRETAGNE;44103;47.3296157;-2.1501648;"Transport en commun||Ligne T4 - Arrêt Ile de France||0,14 ; Transport en commun||Ligne Hélyce - Arrêt Montoir Centre||0,35";06 19 26 24 65;;;;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;01/01/2026||31/12/2026||Mercredi soir à partir de 17h30||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;non;||||||06 19 26 24 65||;;;47.3296157, -2.1501648;Loire-Atlantique
Pizza Bruno;Restaurant;Pizzeria;;19 rue Nantaise;;49300;;;CHOLET;49099;47.0604;-0.88249;;06 60 82 45 45;02 41 65 16 03;;franzbourel@hotmail.fr;;;Facebook||https://www.facebook.com/franzbourel/;;;;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,WiFi;60;3;30;;;;Anglais,Espagnol,Français;;;;;01/01/2026||31/12/2026||||||||||||||||||||||18:45||21:30||||||12:00||14:00||18:45||21:30||12:00||14:00||18:45||21:30||12:00||14:00||18:45||21:30||18:45||21:30||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.0604, -0.88249;Maine-et-Loire
Pizza Del Arte;Restaurant;Pizzeria;9 allée Louis Vincent;;;53000;;;LAVAL;53130;48.0688965;-0.7941647;;;02.43.02.07.00;;;http://www.delarte.fr/del-arte-restaurant-italien-pizzeria-laval,234.html#;;;;;;;;;;;;;;;;;;Anglais,Français;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;48.0688965, -0.7941647;Mayenne
Pizza Kebab D'Aladin;Restaurant;Pizzeria;;2 rue David d'Angers;VIHIERS;49310;;;LYS-HAUT-LAYON;49373;47.146515;-0.534677;;;02 41 85 39 21;;;http://www.pizza-kebab-aladin.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.146515, -0.534677;Maine-et-Loire
Pizza Maïo;Restaurant;Pizzeria;;45 rue des Ponts Neufs;;72000;;;LE MANS;72181;48.0064919;0.19836209;;;02 43 28 60 87;;;https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044;;"Facebook||https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044 ; Google+||https://plus.google.com/110749689507393468966/about?gl=fr&hl=fr";;;;;;;;;;;;;;;;;;;;;;;;;;;48.0064919, 0.19836209;Sarthe
Pizza N'Co;Restaurant;Pizzeria;;48 Avenue Abel Tirand;;72250;;;PARIGNE-L'EVEQUE;72231;47.93723;0.36422;;;02 43 50 01 17;;pizzancoparigne@gmail.com;https://parigne-l-eveque.pizza-n-co.fr/menu?locale=fr-FR;;;;;;;;;;;;;;;;;;;;;;;||||||||11:00||14:00||18:00||21:30||11:00||14:00||18:00||21:30||11:00||14:00||18:00||21:30||11:00||14:00||18:00||21:30||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||||||18:00||21:30;;;;;;47.93723, 0.36422;Sarthe
Pizza Playa;Restaurant;;;36, rue Aristide Briand;;53140;;;PRE-EN-PAIL-SAINT-SAMSON;53185;48.460447;-0.1968573;"Route (nationale/départ.)||RN12||0 ; Itinéraire de randonnée||GR® de Pays Tour du Mont des Avaloirs||0 ; Itinéraire de randonnée||Véloscénie - V40||0,8 ; Itinéraire de randonnée||Véloscénie - V40||0,8";;09 64 27 07 62;;;https://www.pizzaplaya.fr/;;;;;;;;;;;Plats à emporter;;2;;;;;;;;;oui;08/11/2024||31/12/2027||||||08:00||14:30||||||08:00||14:30||||||08:00||14:30||||||08:00||14:30||||||08:00||22:00||||||||||||||||||||;;;;Plats à la carte||9,50||14,00||Choix de pizzas base tomate ou crème, desserts et boissons à la carte : https://www.pizzaplaya.fr/#carte;Cartes bancaires,Espèces;48.460447, -0.1968573;Mayenne
Pizza Suzon;Food Truck;Pizzeria;;Rue des ponts de la ville;;49680;;;NEUILLE;49224;47.340603;-0.03469;;;06 30 60 51 47;;juju.vainvain@orange.fr;;;"Facebook||https://fr-fr.facebook.com/fouees.pizzasuzon.artisanale ; Instagram||https://instagram.com/@pizzasuzon";;;;;;;;;;;;;;;;Français;;;;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Plats à la carte||||||A la carte;Cartes bancaires;47.340603, -0.03469;Maine-et-Loire
Pizza'Nini;Restaurant;Pizzeria;;23 avenue Louis Lajarrige;;44500;;;LA BAULE-ESCOUBLAC;44055;47.27975;-2.37035;;;02 40 60 83 24;;;https://pizzanini.fr;;;;;;;;oui;;;;;;;;;;;;;;;01/10/2022||31/03/2023||||||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00||11:00||14:30||18:30||21:00;;;;;;47.27975, -2.37035;Loire-Atlantique
PIZZERIA - FOOD TRUCK LA BALDORIA;Food Truck;Pizzeria;;5 Rue de l'Erdre;;44390;;;NORT-SUR-ERDRE;44110;47.44127;-1.49844;;;02 40 29 52 97;;;;;Facebook||https://www.facebook.com/La.Baldoria.NortsurErdre/;;;;;;;;;Plats à emporter;;;;;;;;;;;;||||||||||||16:00||22:00||||||16:00||22:00||||||16:00||22:00||||||16:00||22:00||||||||||||||||||||||||;;;;;;47.44127, -1.49844;Loire-Atlantique
Pizzeria Ancora;Restaurant;Pizzeria;;13 rue du général Leclerc;;44510;;;LE POULIGUEN;44135;47.27829;-2.42917;;;02 40 61 16 59;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;47.27829, -2.42917;Loire-Atlantique
PIZZERIA DONATELLO;Restaurant;Pizzeria;;3 rue du 11 novembre;;44130;;;BLAIN;44015;47.4762106;-1.7624173;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137||13 ; Transport en commun||lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,3 ; Halte fluviale||Port de Blain||1";;02 40 51 37 53;;;;;Facebook||https://www.facebook.com/donatello.donatello.165470;;;;;;;;;Plats à emporter,WiFi;;;0;0;0;;;;;;oui;;;;;;Cartes bancaires,Tickets Restaurant;47.4762106, -1.7624173;Loire-Atlantique
PIZZERIA la Salina;Restaurant;Brasserie;;6 Place du Garnal;;44740;;;BATZ-SUR-MER;44010;47.27768;-2.47979;;;02 40 23 95 24;;mtrestosalina@gmail.com;https://la-salina.fr/;;;;;;;;oui;;;Service en terrasse;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.27768, -2.47979;Loire-Atlantique
Pizzeria Le Hangar à Pizza;Restaurant;Pizzeria;;4 Chemin la Poissonnière;Beaufort-en-Vallée;49250;;;BEAUFORT-EN-ANJOU;49021;47.4367081;-0.2226778;;;02 41 66 33 03;;hangar.a.pizza@orange.fr;https://hangar-a-pizza.business.site/;;Facebook||https://www.facebook.com/Hangar-%C3%A0-Pizza-2152789261610658/;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;01/01/2025||31/12/2026||||||||||||||||||||||||||||||17:45||21:45||||||17:45||21:45||||||17:45||21:45||||||17:45||21:45||||;;;;Plats à la carte||7,50||||;Cartes bancaires,Espèces;47.4367081, -0.2226778;Maine-et-Loire
PIZZERIA SHOW PIZZ;Restaurant;Pizzeria;;4 place du Pilori;;53600;;;EVRON;53097;48.1559299;-0.4020724;Gare SNCF||Evron||0,6;;02 43 02 96 23;;;http://www.show-pizz.com/;;;;;;;;;;;Plats à emporter;10;1;;;;;Anglais,Français;non;;;oui;;||02 43 02 96 23||;;;;Cartes bancaires,Espèces,Tickets Restaurant;48.1559299, -0.4020724;Mayenne
Pizzeria Tutti Pizza;Restaurant;Pizzeria;;21 rue du Maréchal Foch;BEAUPREAU;49600;;;BEAUPREAU-EN-MAUGES;49023;47.2020951;-0.9899115;;;02 52 45 00 45;;tuttipizza.beaupreau@gmail.com;http://www.tutti-pizza.com/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g3946440-d9462204-Reviews-Tutti_Pizza-Beaupreau_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;;;;;;;;;;;Français;;;;oui;;||02 52 45 00 45||;;;;Cartes bancaires,Chèques bancaires et postaux;47.2020951, -0.9899115;Maine-et-Loire
Pizzinella;Restaurant;Pizzeria;;28 avenue Henri Bertho;;44500;;;LA BAULE-ESCOUBLAC;44055;47.29466;-2.36007;;;02 40 60 28 68;;;https://la-baule.pizzinella.fr/categories/pizza;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;47.29466, -2.36007;Loire-Atlantique
Pizzéria Au four du village;Restaurant;Pizzeria;;3 Rue du Pont;;53150;;;MONTSURS;53161;48.1361779;-0.5534937;;06 56 66 30 12;;;;;;Facebook||https://www.facebook.com/profile.php?id=61586341168075&locale=ta_IN#;;;;;;non;;;Plats à emporter;18;1;;;;;Français;;;;non;07/05/2026||31/12/2026||||Fermé le lundi||||||||||||||18:30||21:30||||||18:30||21:30||||||18:30||21:30||||||18:30||22:00||||||18:30||22:00||11:00||14:00||18:30||22:00;;;;;;48.1361779, -0.5534937;Mayenne
Pokawa;Restaurant;Restauration rapide;;3 Boulevard René Levasseur;;72000;;;LE MANS;72181;48.00339;0.19764;;;09 75 54 61 88;;;https://restaurants.pokawa.com/poke-bowl-le-mans/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.00339, 0.19764;Sarthe
Presto Pizza;Restaurant;Pizzeria;;35 rue du Dr Laënnec;;49300;;;CHOLET;49099;47.05675;-0.86836;;;02 41 30 72 65;;;https://www.pizza-tempo.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.05675, -0.86836;Maine-et-Loire
Provence Caffé;Restaurant;Restaurant gastronomique - cuisine raffinée;;9 place du Ralliement;à l'étage;49100;;;ANGERS;49007;47.47109;-0.5512;;06 07 91 27 31;02 41 87 44 15;;contact@provence-caffe.com;http://www.provence-caffe.com;;"Facebook||https://www.facebook.com/provencecaffeangers ; Instagram||https://www.instagram.com/provencecaffeangers/";;;Bottin Gourmand,Champerard,Le petit futé,Michelin;;;oui;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Table à langer,WiFi;65;1;;;;;Anglais,Français;oui;;70;;"01/01/2024||23/12/2024||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 26/12/2024||30/12/2024||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 02/01/2025||31/12/2025||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 01/01/2026||31/12/2026||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||";Lien de réservation||||;;;"Plats à la carte||38,00|||| ; Menu adulte du jour (midi en semaine)||21,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Carte Ticket Restaurant,Virement;47.47109, -0.5512;Maine-et-Loire
Pâtisserie L'Osier;Restaurant;Salon de thé;;19 Rue Gambetta;;72000;;;LE MANS;72181;48.004925;0.194194;;09 53 16 39 51;;;contact@losier.fr;https://www.losier.fr/;;"Facebook||https://www.facebook.com/patisserielosier ; Instagram||https://www.instagram.com/patisserie.losier";;;;;;oui;;;Climatisation,Plats à emporter;19;1;0;0;1;;Anglais,Français;;;;oui;;;;;;Cartes bancaires,Espèces;48.004925, 0.194194;Sarthe
R DU TEMPS;Restaurant;Bistrot / bar à vin;;6 rue François Marceau;;44600;;;SAINT-NAZAIRE;44184;47.276351;-2.2070234;Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,19;;02 51 75 01 75;;contact@rdutempsbar.fr;https://www.rdutemp.com;;Facebook||https://www.facebook.com/bistrotRdutemps/timeline?ref=page_internal;;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse;210;1;150;0;;;Anglais,Italien;oui;;70;oui;01/01/2026||31/12/2026||Ouvert du lundi au samedi||Fermé le dimanche||12:00||||||00:00||12:00||||||00:00||13:00||||||00:30||12:00||||||02:00||12:00||||||01:00||12:00||||||01:00||||||||;||02 51 75 01 75||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.276351, -2.2070234;Loire-Atlantique
Reflets de Loire;Restaurant;Pizzeria;;2, Place Charles Sigogne;;49250;;;LOIRE-AUTHION;49307;47.40957;-0.32197;;;02 41 66 23 89;;carmas@wanadoo.fr;http://www.restaurant-refletsdeloire.fr;;Facebook||https://www.facebook.com/pages/Restaurant-Reflets-De-Loire/135800663168813?fref=ts;;;;;;oui;;;Service en terrasse,WiFi;50;1;60;0;1;;Anglais,Français;;;;oui;01/01/2026||31/12/2026||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.40957, -0.32197;Maine-et-Loire
Restaurant - Hôtel Campanile Le Mans Centre Est;Hôtel restaurant;Cuisine traditionnelle;;23 boulevard Pablo Neruda;;72000;;;LE MANS;72181;47.9980196;0.22291135;"Route (nationale/départ.)||RN 23   - accès direct||0,1 ; Autoroute||A 11 et A 28||2 ; Gare SNCF||Gare TGV Le Mans||5 ; Transport en commun||Arrêt SETRAM Gazonfier||0,2";;02 43 72 18 72;;lemans.est@campanile.fr;;;;;;;;;oui;5,00;Qualité Tourisme;Banquet,Séminaire,Service en terrasse,Traiteur,WiFi;120;4;40;3;4;;Allemand,Anglais,Espagnol,Français;oui;10;120;oui;;HANTRAYE||02 43 72 18 72||campanile.lemans@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.9980196, 0.22291135;Sarthe
